distance_km,city_share_pct,avg_speed_city,avg_speed_hwy,ac_on,persons_in_car,tire_pressure_bar,outside_temp_c,fuel_used_l
466.1,83.1,34.0,103.1,0,5,2.0,6.1,50.69
549.9,6.0,30.7,123.6,0,2,2.0,6.0,44.45
688.3,60.6,28.1,109.1,0,3,1.8,21.1,68.94
549.0,45.6,46.0,111.2,0,3,2.0,17.3,51.53
91.6,68.5,29.0,101.8,0,5,2.2,-0.6,9.67
173.2,31.2,19.2,119.5,0,5,1.8,-7.7,17.1
101.3,86.5,34.7,121.4,0,1,2.2,24.2,10.14
354.3,12.4,33.3,86.9,1,4,2.0,7.4,31.44
288.8,35.3,26.5,110.3,1,5,2.25,17.1,28.65
212.6,60.8,37.5,114.6,0,5,2.2,-4.1,22.12
524.9,62.3,34.7,122.4,0,3,2.25,22.7,51.51
141.5,19.8,26.8,86.8,1,2,2.0,-6.1,12.96
37.6,60.4,45.2,108.4,1,5,2.2,16.4,3.76
65.8,59.5,30.2,118.7,0,2,1.8,34.5,6.66
168.2,17.1,24.3,123.1,1,3,1.8,34.7,15.42
114.1,12.1,41.3,103.2,0,3,2.0,-8.7,9.62
578.4,47.5,48.4,86.4,1,1,2.25,3.3,56.49
429.9,14.0,31.1,91.9,0,3,2.25,2.4,37.3
454.8,10.8,21.3,93.7,1,2,2.0,30.2,38.86
353.3,11.3,30.6,129.7,0,3,2.2,24.9,29.7
106.4,81.6,18.3,119.5,0,3,2.0,15.6,11.02
454.6,8.0,36.2,121.4,0,5,2.0,31.1,38.91
584.7,81.4,36.5,125.3,0,4,2.2,29.4,61.81
671.5,24.3,39.3,115.1,0,4,2.2,18.0,59.59
191.7,53.7,22.7,94.2,0,3,2.2,-8.2,19.01
402.4,23.0,18.1,97.1,1,4,2.2,9.1,36.96
405.3,25.9,36.9,127.4,0,5,2.25,16.2,36.93
141.4,39.6,36.8,99.3,1,3,2.0,18.3,13.46
696.6,37.5,33.6,107.0,0,1,2.2,20.2,60.71
