distance_km,city_share_pct,avg_speed_city,avg_speed_hwy,ac_on,persons_in_car,tire_pressure_bar,outside_temp_c,fuel_used_l
508.1,56.1,47.8,109.8,0,4,2.25,7.9,50.22
350.8,9.4,46.8,100.7,0,3,2.2,-3.5,30.05
628.2,90.0,25.3,86.8,1,4,1.8,9.9,73.43
386.4,84.7,27.4,125.1,1,5,1.8,31.7,45.62
625.2,78.1,28.0,98.6,1,5,1.8,29.6,71.99
53.2,29.0,37.8,85.9,1,1,2.0,9.4,4.98
401.4,46.7,35.4,87.9,0,2,2.2,0.5,38.14
618.0,72.5,19.2,89.6,0,3,1.8,1.0,66.28
172.2,38.7,48.9,105.9,0,4,1.8,15.2,16.55
588.8,93.5,44.9,105.4,0,1,2.0,-1.8,61.64
406.3,75.6,26.8,87.8,1,5,2.2,20.3,45.41
353.3,66.2,28.8,103.8,0,3,1.8,25.6,36.27
641.4,60.2,33.6,116.4,1,5,2.25,16.5,68.6
209.6,8.1,32.8,91.0,0,3,2.2,3.0,17.88
394.9,14.7,19.7,90.1,0,4,1.8,27.3,34.91
299.1,99.0,40.9,87.3,0,1,2.2,37.1,31.0
145.3,10.4,27.0,104.0,0,1,2.25,5.5,11.94
545.1,95.2,35.2,108.4,1,2,2.25,-2.0,62.23
271.3,55.0,18.5,97.2,0,2,2.2,26.6,25.58
346.5,22.4,25.0,96.2,0,3,2.0,-7.1,30.89
32.3,94.6,30.6,119.9,1,1,2.2,-1.8,3.3
418.5,61.4,36.8,126.0,1,3,2.0,37.4,42.89
567.5,22.6,30.4,121.0,0,1,2.2,-3.2,48.85
243.3,53.1,18.7,108.8,0,3,2.0,15.4,23.2
491.9,58.2,40.1,119.5,1,2,2.2,6.3,49.02
542.0,64.8,43.5,113.0,1,3,1.8,17.4,57.92
686.7,43.9,36.4,121.2,1,1,2.2,27.6,64.09
501.0,42.8,30.1,86.1,1,3,2.25,30.9,48.67
63.4,82.3,49.1,105.7,0,1,2.2,0.6,6.6
275.5,23.6,21.4,129.8,1,4,2.2,15.3,25.44
216.0,12.1,20.8,114.6,1,4,2.2,14.6,19.48
107.2,90.5,44.2,92.5,0,4,2.0,35.1,11.57
42.6,70.6,48.8,121.7,1,4,2.0,-8.8,4.53
306.2,10.9,44.9,118.8,1,1,2.25,3.4,26.69
536.5,92.7,20.5,126.3,1,4,1.8,33.4,63.3
166.1,43.1,41.9,90.2,1,3,2.25,14.4,16.4
464.4,76.9,39.5,116.3,0,5,1.8,29.1,51.1
301.0,34.3,24.9,86.4,0,1,1.8,-4.0,27.6
27.4,22.4,47.5,123.4,1,3,2.25,-2.8,2.64
443.9,22.2,40.9,112.1,1,4,2.0,-5.0,42.0
686.5,56.3,41.3,105.8,1,1,2.2,26.3,66.47
245.9,93.5,32.0,117.6,0,1,2.0,35.6,24.75
403.6,72.7,20.4,89.4,1,3,2.25,3.0,43.96
447.8,96.2,39.3,119.6,1,4,2.25,25.1,52.08
151.3,14.5,24.5,104.7,0,5,2.25,17.8,13.22
152.0,67.9,48.9,96.2,1,2,1.8,23.6,15.95
65.8,22.6,22.1,90.2,1,2,2.0,19.9,5.64
57.5,79.3,40.7,86.0,0,5,2.0,38.2,6.28
123.6,62.9,31.0,125.6,0,3,2.0,-9.5,12.5
402.4,35.9,32.3,118.5,1,3,1.8,-5.8,40.3
210.3,95.3,34.1,89.7,0,3,2.0,25.0,22.44
143.6,35.8,33.6,91.3,0,3,1.8,36.7,13.63
331.9,16.0,48.8,87.7,1,4,1.8,30.0,30.53
346.9,91.4,33.2,95.1,1,3,2.25,-0.1,39.78
441.5,96.0,33.3,102.8,0,2,2.0,-3.7,48.01
646.8,95.0,42.5,103.8,0,2,1.8,37.3,69.73
316.6,17.9,32.0,117.0,0,2,2.25,-1.5,27.4
600.8,98.1,32.7,103.3,0,3,1.8,28.0,66.6
665.9,17.4,50.0,107.8,0,2,1.8,-7.8,59.3
512.4,67.9,22.1,106.9,1,5,2.0,19.3,56.12
157.8,63.2,43.8,96.8,0,4,2.25,18.4,16.02
699.8,23.8,48.6,109.7,0,2,2.25,-5.8,61.91
519.6,51.6,36.6,120.5,1,1,2.2,-6.8,51.31
169.8,59.5,44.6,104.6,0,5,2.0,25.2,17.16
577.6,99.5,33.5,89.5,0,1,2.25,-2.7,61.29
358.2,51.6,19.3,114.0,1,3,2.0,32.8,35.51
119.3,68.5,48.9,101.4,1,2,1.8,37.1,12.54
604.9,5.6,38.2,122.0,1,1,2.25,35.8,49.86
25.4,90.4,49.6,120.8,0,1,1.8,-1.1,2.93
137.6,32.5,21.2,89.4,1,2,1.8,8.5,12.72
570.6,82.2,36.6,88.2,0,4,2.0,1.5,62.04
363.5,46.0,19.3,96.9,1,4,2.25,28.5,36.41
340.7,54.7,24.6,106.4,1,1,1.8,28.7,33.47
23.6,24.6,45.7,120.9,0,3,2.0,14.0,2.02
378.9,94.8,27.7,105.2,1,3,2.25,-7.8,43.77
215.5,7.9,36.3,111.3,1,3,2.25,18.9,18.52
238.2,77.4,31.1,123.5,1,5,2.25,-8.8,27.72
327.9,85.0,31.0,90.3,0,3,2.0,5.7,34.33
350.0,45.7,28.8,116.5,0,5,2.2,30.9,34.31
66.4,95.9,24.9,97.9,1,3,2.2,-2.0,7.96
394.6,29.1,20.4,123.0,1,2,2.25,39.0,35.93
428.7,36.4,22.6,109.8,1,4,1.8,28.3,42.57
631.3,87.0,41.4,127.3,1,2,2.25,9.9,68.13
122.8,74.2,35.6,125.6,1,2,2.25,12.5,12.85
450.7,33.0,28.4,89.8,0,1,2.2,28.8,38.68
557.8,16.8,37.8,93.8,0,4,2.2,17.6,48.65
178.2,73.2,24.4,111.9,1,1,2.25,-0.2,18.71
32.7,79.4,46.4,95.5,0,2,2.0,16.3,3.14
525.6,97.1,37.6,107.4,0,2,2.0,30.3,55.01
383.6,63.3,20.9,115.9,0,4,2.25,23.7,38.43
354.5,79.2,26.6,89.1,1,2,2.2,22.8,37.44
293.7,84.5,47.9,102.3,1,2,1.8,8.6,32.41
572.2,53.6,39.4,98.5,1,1,2.2,15.0,54.74
189.0,93.6,22.5,100.5,1,2,1.8,15.8,21.36
26.9,73.4,47.6,107.0,1,3,2.0,2.1,3.02
677.3,77.5,38.9,99.0,0,5,2.2,1.5,74.78
289.6,98.5,25.4,124.4,1,4,2.2,-3.7,34.81
400.0,76.8,48.8,121.5,1,2,2.2,30.7,42.13
442.2,96.4,43.7,110.0,0,5,2.25,12.3,50.12
348.7,34.6,18.4,92.6,1,2,2.2,14.4,32.53
450.3,76.2,25.2,118.8,0,4,1.8,10.8,48.1
342.4,35.2,40.3,97.2,0,5,2.2,-0.8,33.11
51.6,18.1,38.2,91.2,1,1,1.8,18.7,4.73
626.6,58.7,20.0,124.4,1,4,2.2,11.4,64.9
238.2,88.0,23.5,86.2,0,5,2.0,18.8,26.29
417.1,71.3,29.0,109.2,1,2,2.25,28.7,43.33
15.9,85.2,40.4,117.4,1,2,2.0,-2.4,1.93
331.3,13.2,21.8,120.4,1,5,1.8,27.4,30.68
671.0,34.1,21.1,117.1,0,4,2.2,5.3,61.57
387.6,90.1,38.3,110.0,1,2,1.8,29.6,43.33
343.7,48.7,36.5,125.8,1,1,2.2,12.2,32.54
656.4,28.8,19.8,128.9,0,1,1.8,30.5,57.95
629.8,53.4,44.5,98.0,1,4,2.0,-0.3,65.98
328.4,34.8,30.4,90.8,1,4,2.0,19.4,31.55
248.2,42.9,42.6,116.9,1,3,1.8,22.6,24.63
528.4,36.5,38.0,112.8,0,3,2.2,37.9,48.17
154.0,15.2,33.9,85.9,0,4,2.25,37.5,13.31
656.6,60.6,28.3,117.4,0,4,2.2,11.6,65.72
364.1,22.5,32.9,119.7,1,1,2.25,6.1,31.73
404.6,34.1,48.0,88.9,0,4,1.8,34.5,38.11
357.3,5.6,24.7,92.5,1,2,2.2,26.5,30.16
464.8,88.1,34.5,127.1,1,4,2.2,30.8,52.71
661.9,27.4,39.4,105.3,0,4,2.0,5.1,59.55
260.0,93.0,25.0,104.9,1,1,2.25,-2.8,28.56
326.7,56.4,41.0,99.6,0,5,2.25,30.1,33.03
180.6,8.5,27.5,85.1,1,3,2.25,-5.8,16.21
372.3,45.3,45.5,93.4,0,4,2.25,27.6,35.38
109.4,93.0,28.9,94.0,1,5,1.8,6.5,13.17
229.1,45.2,47.0,115.8,0,3,2.25,-7.0,22.23
473.5,6.9,38.7,105.1,1,1,2.0,12.1,39.56
338.0,49.9,26.7,97.2,1,2,2.25,11.3,32.74
359.8,45.7,30.5,107.7,1,2,2.25,-3.7,35.28
280.7,96.7,34.3,109.3,1,2,1.8,18.6,32.09
358.5,91.0,49.0,127.6,0,2,1.8,12.3,38.02
571.0,31.3,34.6,106.5,0,3,2.2,27.4,50.83
582.7,46.8,28.8,103.7,1,3,2.25,-9.1,58.97
390.0,46.7,31.5,90.9,0,2,2.2,33.6,35.69
536.7,90.6,46.6,111.0,0,2,2.0,10.0,55.27
112.6,48.2,36.0,129.5,0,5,1.8,3.1,11.87
80.6,60.0,20.6,127.5,1,2,1.8,-4.8,8.31
140.2,29.3,43.8,125.3,1,3,2.0,10.6,13.28
684.9,24.5,27.8,128.5,0,4,2.2,28.5,60.88
596.0,82.7,45.7,107.1,0,2,1.8,-3.7,64.04
186.6,29.2,46.2,119.0,0,2,2.2,38.7,16.22
303.1,53.5,37.1,118.4,0,1,2.2,24.4,27.97
698.9,58.1,42.1,122.4,0,5,2.0,-2.1,72.91
560.9,83.0,43.6,119.9,0,1,2.2,7.5,55.46
131.5,34.8,33.9,123.3,1,3,2.0,27.1,12.32
652.4,5.0,26.1,126.9,0,4,2.25,-7.4,56.19
222.6,26.3,45.1,103.9,0,3,2.25,13.3,19.68
279.7,85.9,30.3,87.5,0,4,2.2,21.2,29.75
644.2,25.2,25.3,100.0,0,4,2.2,-5.0,59.44
264.1,79.2,26.3,110.8,0,1,1.8,14.8,26.57
560.5,69.0,37.6,128.4,1,3,2.25,-2.0,60.62
661.3,40.2,27.4,98.1,0,2,2.2,14.5,59.45
301.4,17.7,21.3,96.7,1,5,2.25,18.0,27.75
531.9,44.2,35.3,103.4,1,4,2.25,35.3,53.04
384.3,36.5,44.6,117.8,1,2,2.25,34.3,35.54
489.2,19.2,25.7,115.3,1,5,2.2,27.6,45.29
518.8,68.2,35.0,98.7,1,3,2.0,21.4,54.27
576.7,44.0,19.9,124.7,1,1,2.2,15.5,53.7
582.9,41.9,19.4,114.2,1,4,1.8,12.2,58.96
151.5,71.8,26.1,91.2,0,4,2.0,-9.0,16.35
212.9,6.5,23.4,103.8,0,2,2.2,5.2,17.51
24.6,69.6,47.3,93.4,0,1,2.0,8.3,2.35
72.6,92.0,46.6,101.4,0,3,2.2,-6.0,7.76
689.6,78.7,38.9,97.2,0,2,1.8,13.8,71.0
