distance_km,city_share_pct,avg_speed_city,avg_speed_hwy,ac_on,persons_in_car,tire_pressure_bar,outside_temp_c,fuel_used_l
232.6,85.6,42.9,85.6,1,1,2.0,35.0,24.46
257.3,71.2,18.7,115.5,1,4,2.0,13.2,28.05
20.0,26.6,27.5,100.3,1,3,2.0,-6.7,1.85
567.1,13.0,40.9,110.2,0,3,2.2,0.5,49.18
356.5,69.6,34.4,85.3,1,4,1.8,31.9,39.0
547.7,66.5,48.9,96.3,1,4,2.0,30.9,58.49
241.7,11.0,18.2,110.9,0,1,2.2,24.0,19.23
175.3,85.1,31.6,127.3,0,2,1.8,10.2,18.14
253.9,90.0,20.8,124.0,0,2,1.8,30.0,27.1
443.2,85.1,41.1,125.3,0,5,1.8,39.4,49.82
312.5,94.7,20.6,111.4,0,3,2.0,29.7,33.18
134.3,77.9,23.5,99.6,0,1,1.8,-6.3,13.63
549.2,53.2,42.2,113.5,0,3,2.0,37.5,52.2
529.1,89.2,35.9,112.6,1,4,2.0,4.1,61.67
629.2,89.8,25.7,91.1,1,3,2.2,14.6,69.81
658.2,87.9,37.4,101.2,0,3,1.8,-8.6,73.13
555.5,59.4,50.0,85.0,1,2,1.8,7.2,56.98
137.7,98.1,33.2,87.9,0,3,2.2,5.0,14.99
323.7,93.4,28.4,126.7,0,5,2.2,-7.3,37.5
65.8,49.6,27.2,113.0,1,2,1.8,11.1,6.71
213.8,65.2,27.9,125.5,0,2,2.0,-1.0,21.52
460.0,81.8,46.7,92.6,0,3,2.0,23.9,47.73
658.2,47.1,48.3,111.3,0,5,2.0,13.3,64.41
19.1,12.4,36.6,108.7,1,3,2.0,38.7,1.95
478.6,23.5,48.1,96.6,0,2,2.2,33.0,41.12
265.7,24.9,29.0,102.1,1,4,2.0,-4.0,25.44
539.1,25.4,20.3,89.8,1,3,2.0,30.8,49.4
689.5,77.0,41.8,119.1,1,1,1.8,34.5,72.55
442.7,76.7,34.8,115.2,0,4,1.8,30.0,47.54
664.0,9.9,49.1,127.9,0,5,2.0,36.2,57.48
383.9,90.9,41.6,90.3,0,5,2.25,24.5,42.9
20.9,57.0,18.1,123.5,1,5,2.25,8.8,1.92
448.0,72.4,29.4,106.6,0,2,2.2,36.5,44.37
377.2,75.4,32.0,96.9,1,1,2.2,-6.0,39.57
180.5,93.6,32.0,111.7,1,5,2.2,12.5,21.14
648.4,33.4,48.8,88.4,0,4,2.25,35.9,59.54
401.2,71.4,28.3,87.9,1,3,2.2,-5.0,43.93
470.9,13.1,42.2,115.0,1,2,2.25,37.3,40.32
151.8,90.1,23.8,120.0,0,2,2.25,24.1,15.91
494.5,21.7,45.4,120.2,0,5,1.8,29.0,45.5
221.6,53.7,25.0,107.7,0,4,2.0,2.3,22.15
162.4,87.1,45.9,119.0,1,5,1.8,33.8,19.4
417.4,62.3,43.2,123.2,0,3,2.25,39.2,40.71
579.4,37.0,32.7,90.0,1,5,2.2,25.5,57.17
304.2,24.6,32.1,103.2,1,4,1.8,7.6,28.84
184.3,55.5,24.1,94.4,1,2,2.0,27.9,18.07
92.4,83.9,47.1,117.1,1,3,2.25,15.2,10.0
220.2,22.6,25.8,86.6,0,1,2.0,7.0,18.31
540.3,15.2,38.8,87.7,0,4,1.8,26.3,47.94
613.0,13.4,23.1,112.7,1,2,2.25,-1.6,54.7
625.2,21.7,33.9,121.5,1,3,1.8,23.0,57.85
404.0,93.7,18.2,102.9,0,4,1.8,24.0,45.07
306.5,50.1,28.8,114.4,1,4,2.2,-5.7,31.81
512.4,25.1,29.0,90.7,0,1,2.0,5.9,42.92
58.0,30.2,49.4,107.1,0,3,2.25,-8.3,5.41
160.2,99.5,22.9,109.9,1,4,2.25,35.1,18.6
398.1,75.6,20.4,129.8,1,1,2.0,18.8,40.79
127.1,51.4,43.3,115.2,0,3,1.8,-7.6,13.02
329.0,17.3,29.3,100.3,1,4,2.0,22.6,29.79
124.1,78.8,26.8,126.2,1,2,2.25,-3.0,13.56
213.4,47.4,36.7,87.2,0,4,2.0,-4.1,20.89
533.2,76.1,46.6,117.7,0,5,2.2,24.9,56.58
536.2,59.7,39.6,91.7,0,2,1.8,24.5,52.25
114.7,11.8,23.5,116.1,1,3,2.2,24.6,9.88
600.9,83.8,27.1,94.3,1,5,2.2,2.2,70.59
258.0,32.1,38.4,107.9,0,3,2.0,18.7,23.35
437.0,85.9,25.1,116.5,1,2,1.8,4.9,49.73
352.7,77.6,20.9,87.6,0,3,2.2,7.2,35.79
525.6,57.8,30.3,104.0,0,1,2.2,14.4,48.52
285.1,94.4,48.0,123.9,1,5,2.2,23.1,33.48
108.7,69.6,21.2,98.4,1,2,2.25,21.2,11.2
501.6,93.2,35.1,101.9,0,5,2.2,17.0,55.89
293.9,37.1,26.6,108.7,1,5,2.2,0.2,30.02
670.5,23.7,34.7,113.2,1,2,1.8,38.9,61.64
195.1,58.1,22.7,97.9,1,3,1.8,-7.3,20.86
251.0,8.2,20.4,124.6,0,3,2.2,28.3,20.92
50.1,6.9,40.0,124.5,1,1,2.2,9.3,4.44
136.7,87.5,46.2,129.8,0,3,2.0,18.7,14.2
422.6,8.9,41.7,98.5,1,3,2.0,28.8,36.44
245.8,5.6,20.7,112.1,0,1,1.8,2.6,20.47
615.6,92.0,43.7,116.9,1,5,2.0,31.0,72.36
30.8,27.0,31.9,118.2,1,1,1.8,16.9,3.01
423.7,99.1,33.7,114.2,0,5,1.8,11.8,49.2
331.7,10.7,23.5,122.4,1,1,2.25,24.6,28.16
247.1,22.5,28.6,123.7,0,4,2.2,-5.0,22.61
113.8,41.4,42.5,111.2,0,2,2.2,16.3,10.36
472.5,47.7,47.6,120.5,1,5,2.2,36.6,48.58
409.5,50.0,24.6,102.7,0,1,1.8,7.7,38.24
125.1,25.4,35.5,127.5,1,4,1.8,-2.1,12.08
80.7,12.7,37.9,126.8,1,2,1.8,32.1,7.29
313.3,37.4,31.6,111.1,1,5,2.0,30.4,31.25
551.9,71.4,21.7,115.4,0,4,2.0,8.6,56.97
493.1,47.4,43.1,109.4,0,2,2.0,4.9,46.46
58.1,26.0,40.8,98.6,1,4,2.0,-5.6,5.83
346.7,31.2,36.8,102.6,0,2,2.0,6.1,30.36
481.6,40.1,18.4,123.5,0,2,2.2,-6.2,44.93
123.2,63.5,38.6,111.0,0,3,2.25,21.0,12.29
427.5,95.8,18.8,124.9,1,5,1.8,1.9,53.61
625.5,5.2,48.2,95.6,0,2,2.0,11.7,50.36
140.5,49.2,23.2,92.8,1,1,1.8,25.5,13.86
654.3,66.0,32.0,103.9,1,5,2.2,19.6,70.74
23.3,31.4,41.2,112.3,0,3,1.8,-3.5,2.1
497.2,18.8,33.3,114.1,1,1,2.0,-6.5,44.37
448.8,14.1,44.5,104.1,1,5,1.8,4.2,43.15
661.0,27.8,43.4,127.7,1,4,2.25,16.1,61.97
357.1,21.4,39.8,106.4,1,3,2.25,24.2,32.19
690.9,30.9,47.6,99.7,1,5,1.8,-10.0,70.32
588.7,19.4,41.9,108.3,0,2,2.0,32.0,49.45
441.3,22.4,26.8,94.4,1,5,2.0,3.2,42.52
186.7,72.8,23.2,119.5,1,5,2.2,-2.8,21.08
